clean_comments,label
vote saying yes ducky bhai turkey,0
yaarbo funny captive xi kanaus enjoy masha allah avasme view sky subhan allah,0
daki bhai u bhabhi great doni mashalahallah guys protect,0
proud muslim,1
best youtuber award goes ducky bhai,0
vote saying yes aroob new born baby,0
lets vote ducky bhai saying yes father,0
vote saying yes aroob turkey,0
hhhhhhh mashallah masoom ducky nd aroobyou made fore ech etherahlah paak donk ko nzre bad syy mehfooz farmaye hmesha aesy hi sath khud thinameeen summa ameen,0
proud muslim,1
im feeling like since aroob come videos vlogs owesm funny jugattt funny give reaction every jugattttt vlog become funny,0
proud muslimp,1
proud muslim agree,1
lets vote ignoring aroob hours,1
proud muslim,1
beautiful vlogs,0
proud muslim,1
proud muslim,1
namaz permanent solution every problem agree,1
aroob sweet cute eyes beautiful,0
hai rub favav daki bjps shoe took allways happy legend,0
vote hours ignoring aroob turkey,1
proud pakistani,1
always love aroob jatoi smile,0
love vlogs,0
loves quran,1
im pakistani congratulations india play final world cup,0
mashlah allah pak always keeps happy like,0
proud like muslim,1
masha allah videos good may allah bless always,0
aroob brave mashaallah,0
respect button driver,0
proud muslim,1
lets appreciate content man crew makes masterpiece imagine whats hes gon na future,0
hand dryer moment ducky bhai never disappoint us,0
im proud muslim,1
proud muslim,1
agree allah one,0
proud muslim,1
lets vote saying yes father hrs,0
im proud muslim alhamdulillah,1
proud muslim,1
hand dryer moment ducky bhai never disappoint us,0
would awesome speak english understand,0
proud muslim,1
never commented ducky video since today laughed hard guys entered haunted hotel aroob reactions top notch thanks making us laugh,0
feel bad vibes hotel watching hope u guys safe secure,0
proud muslim,1
proud muslim,1
lets vote saying yes aroob hours,0
dukki bhai promote song religion please dont ignore comment,0
proud muslim,1
im sure travel guide angry brother,0
proud muslim family,1
im proud muslim,1
proud muslim,1
imagine barother tailing dakki trip take care brother happy meet,0
cant control laugh way investigate every corner,0
proud muslim,1
proud muslim,1
respect ghost save ducky,0
proud muslim,1
though ducky sick still making vlogs us thanku brother,0
proud part ummate muhammad saw,1
hahaha todays vlog good cant stop laughing,0
proud muslims,1
proud muslim,1
proud muslim,1
lets vote ignoring aroob hour,1
ducky bhai great im holiday turkey watching turkey trip check guide tours enjoy holiday,1
ego attitude hardwork honest,0
salute diver driving hour,0
vote ducky nd marriage prank,0
quality content better sourav many vloggers,0
van driver good personality good manners,0
ducky bhai give entertain us,0
deserve oscar,0
sense humor good duckybhai,0
proud muslim,1
driver giving roll duky bhai said bhai hath b dhulay thay ya nhi tooo funny also forgot umbrella,0
congratulations million,0
proud muslim,1
lets vote ignoring aroob hours,1
proud muslim,1
fenu yan tan suffe selnananana deckhick delim,0
lets vote hours saying yes challenge aroob turkey,0
respect button driver,0
ducky made day,0
day incomplete without ducky bhai vlog,0
allah azzwajal falastin muslims co iman seht afiaot relief caub khushi sukhun sukhun,1
proud part ummat e muhammad saw,1
today vlog looking like wao hahahahaha cant stop laughing btw plz dont stay tomorrow,0
respect button ducky bhai brave,0
lets vote ignoring aroob hours,1
oman qatar banned movie honour pakistan meanwhile ducky bhai sponsoring get money,1
proud part ummate e muhammad pbuh,1
proud muslim,1
hope big surprise duckybhai comeback,0
love much shazada veer love jhelum punjab buzurgo going watch song ducky bhai,0
respect button driver,0
like horror,0
ducky great person,0
saying yes muneeb hours,0
happy,0
lets vote living jungle hours,0
cant resist without vlogs,0
best part duckys channel,0
proud part ummat e muslima,1
vote ignoring aroob hours,1
think next plan go hot air balloon,0
proud muslims,1
ego attitude hardwork honest,0
proud muslim,1
proud muslim,1
first congratulations subscriber lets vote saved tend,0
feel depressed watch ducky bhai videos feel fresh appreciated efforts bhai,0
ducky said said nagrani looking innocent tui wala seen fav,0
best part ducky said hth nikl ana haghte huye,0
daki yu made day came blood dakis toi covered ghost,0
disclaimer video last video ducky bhai,0
hotel u less money left,1
namaz permanent solution problems,1
energy guy unbelievable,1
respect driver driving hrs,0
lets vote ignoring aroob hours,1
best thing turkey trip driver nice sweet,0
proud muslim,1
proud muslim,1
vote saying yes aroob hr,0
waking brother cats,0
proud muslim proud muslim family,1
stand palestine,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim,1
ego attitude hardwork honest,0
proud muslim,1
get well soon ducky bhai please enjoy trip first consider health important nothing important healthlots prayers ducky bhai,0
proud muslim,1
im proud muslim alhamdulillah,1
proud muslim,1
proud muslim,1
proud muslim,1
proud part ummat e muhammad saw,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslim alhamdulillah,1
proud muslim,1
fine fine inshallah,0
proud muslim,1
proud part ummat e muhammad saw,1
proud part ummate muhammad saw,1
proud part ummat e muslima,1
lots love uae take care get well soon nazar lag gaye pls say mashallah whenever starting vlog say say mashallah start vlog,0
proud muslim,1
proud muslim,1
proud true muslim,1
proud muslim,1
nice,0
proud ummate muhammad saw,1
man literally born make history,0
inshallah bhai fine love contents make us,0
im proud muslim alhamdulillah,1
ducky bro keep uploading type content love pakistan,0
mashallahget well soon,0
proud muslim,1
big respect couple may god recover soon,1
proud muslim,1
ducky brother like much taking driver along making fun also feeding,0
enjoy trip get well soon,0
proud muslim,1
appreciate struggles ducky bhai,0
inshallah get well soon bhai love asma badar lahore pakistan,0
mashallah bhai,0
congratulations million ducky bhai,0
proud muslim,1
allah bless nice couple,0
amin suma amin allah pak shop bhai ko jo jad se seht seht,0
take care brother give allah pak health,0
get well soon bro,0
one day bay comment viral,0
brother also much bihmar ho ho allah blasses,0
get well soon ducky bhai,0
may allah heal ducky bhai,0
wishing well hope get soon,0
proud muslim,1
roam cold ill,0
get well soonducky bro,0
man literally born make history,0
namaz permanent solution problems,1
get well soon stay safe stay healthy,0
turkey dream country,0
lets vote saying ducky bhai shave beard hair say agree,0
may allah keep blessed good health mercy may enjoy,0
get well soon,0
get well soon ducky bhai,0
main never miss make us laugh,0
get well soon ducky bhai wear warm clothes turkey weather cold,0
proud muslim,1
best ducky bhailove vlogs,0
nan,0
nice,0
get well soon saad bhai,0
nice bro love punjab india,0
get well soon bhai,0
quality content better sourav every vloggers,0
lets vote saying yes aroob hours,0
allah give health brother,0
god god skin,1
allah pak sehtiyabi tandurushi life attacked especially every sight mehfuz rakhayam get soon bro,0
hayehaye u aroob umbrella,0
proud muslim,1
inshallah fine drink cold water take care,0
nan,0
get well soon sir love u im pakistan karachi ur idol sirrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0
gave health allah daki brother,0
allah give health,0
god best villages ja god willing,1
ducky real legend,0
dicky bhai said jazakallah,0
yaar ducky bhai aroob craziest,0
masallah keep smiling forever ameen allah bless family ameen sumameen,0
get well soon bhai,0
assalam walekkum daki bhai allah pak gives health lot fun looking vlog,0
bye bye end end,0
honestly say constantly overwhelmed hearing comfort thank fan hammad khatri first hearing impaired youtuber one noticed channeler name hammad khatri,0
vacations never forget perform salah,0
love much shazada veer love jhelum punjab buzurgo,0
namaz permanent solution problems,1
stand palestine,1
im proud muslim alhamdulillah,1
proud muslim,1
formations created flow hot springs terraces formed thousands years water deposits calcium carbonate solidifies creates formations dont know,0
proud muslim,1
pamukkale truly miraculous landscape located western region turkey translating cotton castle turkish striking white hills waterfall formations result fairy tale scenery,0
proud muslim,1
congratulations ducky bhai aroob parental life may allah bless,0
life boring without watching vlogs,0
masha allah beautiful places nature turkey,0
proud muslim,1
travel vlogs always fun,0
proud muslim,1
proud muslim,1
proud muslim,1
amazing place thankyou ducky bhai explore beautiful place country turkey love,0
man literally born make history,0
nature called khuda,0
proud muslim,1
day cant day without vlog,0
proud ummat muslim,1
pound muslim,0
proud muslim,1
proud muslim,1
ducky bhai fans feel happiness min vlog,0
proud muslim,1
proud ummat muslim,1
proud muslim,1
proud muslim,1
saad bhai fans feel happiness mint vilog,0
proud muslim,1
proud muslim,1
ducky bhai never fail laugh us,0
congratulations millions,0
proud part ummate muhammad saw,1
namaz permanent solution problems,1
proud part ummat e muhammad saw,1
nature allah subhan allah kia kia khi khubasurati world,0
day incomplete without ducky vlog,0
proud ummat e muhammad saw,1
day incomplete without vlog,0
ducky bhai proud muslim,1
end funny umbrella wala scene kamal maza agya cant control laugh,0
million done first many congratulations fans waiting full face shave,0
congratulations bro subscribers public waiting shaving head face,0
best leader hazrat muhammad saw best lyrics azaan best guide quraan best request dua,1
ducky fans feel happiness daily vlogs,0
brother deserves chatri umbrella,0
day incomplete without ducky bhai vlog,0
proud muslim,1
vlogs end day happiness,0
lets vote ignoring aroob hours,1
many many congratulations million may allah always bless success life sha allah ameen sumameen,0
proud part ummat e muhammad saw,1
miracle allah beautiful place,0
proud muslim,1
beautiful view,0
proud muslims,1
proud muslim,1
proud muslim,1
vote saying yes papa hours,0
ducky brother like much taking driver along making fun also feeding,0
million done first many congratulations fans waiting full face shave,0
proud muslim,1
vlog really good today,0
nice vlog bhai sha allah nice views weather,0
namaz permanent solution problems,1
loves quran,1
proud muslim,1
without feel broke like im half whole without ive got hand hold without feel torn,0
one predict ducky timing,0
love much shazada veer love jhelum punjab buzurgo,0
genuine pakistani youtuber real hardworker first pakistani whose channel growing fast,0
congratulations,0
proud muslim,1
lets vote ignoring aroob hour,1
proud part ummate muhammad saw,1
mashallah ducky bhi great tour god bless u,1
person reading good days ahead dont stress everything fine matter difficulty facing right overcome strong brave may peace calmness fill life,0
proud muslim,1
congratulations million want see reach million lift diamond play button,0
proud muslim,1
white structure lime mountain also called limestone hills chony ka phaar native language,0
proud muslim,1
proud muslim,1
lets vote ignoring aroob hours,1
nature allah,0
subhanallah suchhhhh beautiful placema,0
snow choona,0
ducky laughing like danver money heist,1
daki would eaten something assembly every vlo,0
lovely couple mashallah god bless,1
amazing place wonderful vlog,0
daki bhai level,0
proud muslim,1
stay bless saad bro,0
best brotherrrrr btw love bangladesh,0
mashaallah,0
beautiful vlog,0
million done first many congratulations fans waiting full face shave,0
bought mec whitening face wash amazing discounted prices daraz httpsclickdarazpkecxj,1
proud muslim,1
proud muslim,1
im proud muslim alhamdulillah,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslims,1
proud muslim,1
proud muslim,1
proud muslim,1
proud muslimlove india,1
loves quran,1
proud muslim,1
proud muslim,1
vlogs free therapy us,1
proud muslim,1
proud muslim,1
congratulations million subs joke result dedication hardworking,0
proud ummati muhammad saw,1
proud muslim,1
proud muslim,1
day incomplete without vlogs,0
proud muslim,1
day incomplete without vlogs,0
million done first many congratulations fans waiting full face shave,0
proud muslim,1
million subscribers joke respect ducky bhai,0
proud muslim,1
lets vote saying yes father hours,0
proud muslim,1
proud muslim,1
proud muslim,1
day incomplete without ducky bhai vlogs lots love ducky bhai keep growing,0
proud muslim,1
proud muslim,1
proud muslim,1
masha allah ducky cute hot ja rahe,0
proud muslim,1
namaz permanent solution problems agree,1
proud muslim,1
crying watching vlog beacause ducky bhai one travelling around world enjoying life fully papers studies,0
enjoying life much,0
congratulations ducky bhai subscriber,0
best vlog turkey turkey sooo soo beautiful natural land mind blowing,0
proud muslim,1
proud part ummate muhammad saw,1
masha allah allah bless family,0
proud muslim,1
aa ur vlogs amazing never loose interest ur turkey tour superb,0
proud muslim,1
lets vote europe tour,0
congratulations,0
ducky bhai seriously glow smile million people,0
turkey compared nothing kashmir,0
proud muslim,1
lets vote saying yes father hours,0
aroobs one liners epic,0
enjoy vlogs thank,0
really want go inshaallah one day,0
proud b muslimmmm,1
congratulations ducky bhai st babys good news may allah bless wife child good health,0
beautiful view,0
proud muslim,1
congratulations million,0
proud part ummat e muhammad saw,1
dreamy,0
beautiful place,0
best place visit bursa saad bhai also visited turkey looks much expensive,0
excited see bladed,0
mashallah bahut beautiful place turkey,0
allah great,0
congrats youtube,0
congratulations million,0
congratulations ducky bhai million,0
congratulation million,0
proud muslim,1
proud part umatte muhammad saw,1
amazing vlogs,0
namaz permanent solution problems,1
million done first many congratulations fans waiting full face shave,0
lets vote ignoring aroob hours,1
ducky bhai fans feel happiness vlog,0
loved bursa beautiful,0
beautiful vlogs,0
proud muslim,1
amazing view bursa,0
slava ukraini lets support ukraine,0
view beautiful,0
joke respect batton ducky bhai,0
namaz key success,1
proud muslim,1
