clean_comments,label
lets votes for ignoring aroob for hours,1
lets vote for ignoring aroob for hours,1
lets vote for living hours in sasural,0
who is proud to be a part of ummate muhammad saww,1
lets vote for ignoring aroob for hours,1
who is proud to be a muslim,1
lets vote for ignoring aroub for hours,0
lets vote for ignoring aroob for hours,1
i am proud of because i am muslim,1
namaz is the permanent solution of all problems who agree with me,1
vote for shave and tind,0
huge props to the set designers everything was spot on,0
proud to be a muslim,1
lets vote for ignoring aroob for hours,1
best vlog of this month so far,0
vote for say yes to arrob hrs challenge,0
who is big fan of king babar azam,0
vote for ignoring aroob for hours,1
lets vote dont shave as a muslim,0
lets vote saying yes to mama for hrs,0
lets vote for ignoring aroob for hours,1
m is not a joke salute to this man respect button for ducky bhai,0
proud to be a muslim,1
lets vote for ignoring aroob for hours,1
vote for shave or tind before m subscribers,0
congratulations m subscribers of sistrology,0
lets vote for ignoring aroob for hours,1
daki bhai challenge you namaz ibadat zikar for harsha haragri,1
lets vote for ignoring aroob for hours,1
who feels proud to being a part of prophet muhammad saw,1
lets vote for nd marriage prank with aroob,0
lets vote for ignoring aroob for hours,1
who is proud to be ummat e muslim,1
lets vote for nd marriage prank with aroob,0
lets vote for ignoring aroob for hours,1
lets vote for saying yes to mother for hours,0
proud to be muslim,1
im proud to be a muslim alhamdulillah,1
lets vote for ignoring aroob for hour,1
lets vote for ignoring aroob for hrs,1
lets vote for ignoring aroob for hours,1
i think you should keep the car only you should use it for your big events or occasions thats my opinion i really want you ducky bhai to enjoy your dream car,0
lets wat ignore muniba hours attting muniba,0
lets vote for ignoring aroob for hours,1
lets vote for ignoring aroob for hour,1
lets vote for ignoring aroob for hours,1
vote for ignoring aroob for hours,1
lets vote for ignoring aroob for hours,1
lets vote for aroob ignoring aroob for hours challenge,1
who is proud to be a part of ummat e muhammad saw,1
lets vote for tinder,0
who is proud to be muslim,1
lets vote for ignoring aroob for hours,1
i will say keep the car and use it only when you dont have park it for longer periods of time to be honest it is such a shame that people cant tolerate someone else success i hope and wish you and your family a very happy and prosperous life ahead may you succeed even more in your life ameen,0
lets vote to nd married prank for aroob,0
the connection you built with your audience is so wholesome our days are incomplete without your vlogs so proud of you,1
lets vote for nd marriage prank with aroob,0
lets vote for ignoring hours for aroob,0
who is proud to be ummat muslim,1
lets vote for ignoring aroob for hours,1
lets vote for showing us dakku and dolly again,0
you can sell them because some people have bad habit they didnt accept other progress but also you can keep it and take care,0
lets vote for ignoring aroob for hours,1
namaz is the permanent solution of all the problems,1
proud to be a muslim,1
this scratch is most probably caused by a stone because if a person wants to scratch he will never bend down so much to scratch the lower part as when he can easily do that on the upper part moreover the jealous guy would probably scratch more prominent part rather scratching bumper that cost relatively less to get fixed,0
lets vote for ignoring aroob,1
lets vote for ignoring aroob for hours,1
this man is honestly too good for this world imagine putting in this much effort for your fans,0
vote for ignoring aroob for hours,1
lets vote for ignoring aroob for hour,1
lets vote for saying yes to dad for hours,0
lets vote for ignoring aroob for hours,1
lets vote for ignore aroob for hours plzz plzz,0
proud to be a muslim allhumdulilah,1
huge props to the set designers everything was spot on,0
lets vote for ignoring aroob jatoi for hours please,1
lets vote for ignoring aroob for hours,1
vote for ignoring prank with your wife,0
lets vote for saying yes to dad,0
i would say that you keep the car only take it out when you want to go out for a short period of time this is just my opinion you do what you think is best for you now a days people just dont like someone making progress,0
lets vote for ignoring aroob for hours please,1
lets vote for saying yes to father for hours save or tinder,0
the person who scratched the car will be watching this video,0
million is not a joke respect for ducki bhai,0
lets vote for ignoring aroob for hours,1
dont worry brothese scratches are of no problem as they are on bumper and they are not made intentionaly by anyonei have bmw same scratches often appear on bumpersand this what bumpers are made forthese are due to road bumps and sometimes stonesif a scratch is on other than bumper than it is made intentionaly,0
dreams are never have to be sold out keep audi with you ducky bhai please we dont want you to sell,0
proud to be a muslim,1
lets vote for ignoring aroob for hour,1
lets vote for ignoring aroob for hours,1
dont be sad every car guy can feel your pain including me but be strong no need to sell the car just because someone scratched it leave himher to allah with great horse power comes great newton meter of responsibility,0
i could never keep such a car in pakistan how you managed it so far in itself is a feat of bravery,0
lets vote for ignoring aroob for hours,1
lets vote for ignoring aroob for hours please saad bhai,1
lets vote for nd marriage prank with aroob bhabhi,0
lets vote for doing clean shave or tinder challenge,0
lets vote for saying yes to family for hours,0
ducky dont sell your dream car may allah bless you,0
lets vote for nd marriage prank with aroob please,0
dont worry ill get an even better car inshallah,0
lets vote for saying yes for ducky bhai father,0
lets vote for ignoring aroob for hours,1
vote for ignoring aroob for hours,1
lets vote for ignoring aroob for hours plz,1
lets vote for ignoring aroob for hours,1
lets vote for ignoring prank on aroob for hours,0
ducky bhai dont sell the car which was not scratched his wish will not be fulfilled so plz dont sell the car,0
ducky bhai bura nhi manna lekin you saved up your money to buy this car it was your dream car and please keep it as you followed your dream and got a nice car,1
yes lets vote for ignoring aroob for h,1
plz prank with aroob,0
proud to be muslim,1
proud to be a muslim love you,1
lest vote for ignoring aroob for hours,1
lets vote ignore aroob hour,0
lets vote for saying yes to father for hours safe or tinder,0
lets vote for ignoring aroob for hours mom i am famous,1
lets vote for ignoring aroob for hours,1
i dont think it was an intentional scratch unfortunately the terrain in pakistan and debris flying might have easily scratched the car since it is so low to the ground watching the way you drive and your surroundings you might want to consider replacing or selling your audi and its time for you to get a bigger house with garage to accomodate all the cars a chef to cook for you healthy food,0
lets vote for saying yes to father for hrs,0
saying yes to aroob for days,0
dreams are dreams so when someone achieve it then he keeps it so it is what it is,0
lets vote for ignoring aroob for hours,1
lets vote for fake marriage prank with aroob,0
audi e tron gt is a very elegant car but here in pakistan you cant take it frequently on roads it is most likely garage queens and will be in pristine condition a little lineancy on this car and its value would be greatly reduced so be careful with it,0
namaz is the permanent solution of all problems who agree with me,1
lets vote for nd marriage prank on aroob,0
who is here just for babar azam,0
always in energy,0
proud to be a muslim babar king,1
proud to be a muslim likes only,1
proud to be a muslim,1
i am proud to be muslim,1
the connection you built with your audience is so wholesome our days are incomplete without your vlogs so proud of you,1
respect button for king babar azam,0
proud to be muslim,1
here for king babar,0
proud to be a muslim,1
proud to be a muslim,1
proud to be a muslim,1
who is proud to be muslim,1
im proud to be muslim,1
i play ducky bhai vlog after months just for babar azam,0
proud to be a muslim,1
who is proud to be part of ummat e muhammad saw,1
im proud to be a muslim alhamdulillah,1
lets vote for showing us dakku and dolly again,0
proud to be a muslim community,1
who comes only for babar azam,0
proud to be a muslim,1
best leader muhammad saw best lyrics azaan best guide quran best request dua,1
only for a babar azam,0
respect button for babar azam,0
proud to be muslim,1
proud to be a muslim,1
trending because of king babar,0
babar azam is our king lots of love for babar azam,0
thank you babar azam for not wasting much of your time with these clowns,0
proud to be muslim,1
respect button for babar azam,0
i proud to be a muslim,1
here for king babar only,0
proud to be a muslim,1
every youtuber can get trend after meeting king thats why he is king babar with million,0
proud to be a muslim,1
proud to be a muslim,1
king babar,0
proud to be a muslims,1
lets vote saying yes to your mom for hours,0
proud to be muslim,1
proud to be a muslim proud to be the ummati of the holy prophet muhammad saw proud to be pakistanu,1
thanks for k family,0
proud to be muslim,1
who is proud to be a muslim,1
my fav cricketer babar azam,0
respect button for king babar,0
first saw its vlog for just for my king babur,0
respect button for babar azam,0
the fun of meeting babar azam is different,0
babur king brand one day i am viewing in,0
who is proud to be a muslim,1
lets vote for drunk prank on family for hours,0
such a great person to meet babar azam,0
ma sha allah legend vs legend,0
daki bhai challenge you namaz ibadat zikar for harsha haragri,1
we are captain baber azam,0
best part of this video for babar fans is,0
just here for babar azam,0
masha allah wedding congratulations to imam ul haq and all islamic brothers ashikaneerasool,1
who is here only for king babar,0
ducky bhai is born to make history,0
respect button for king babar,0
proud to be a muslim alhamdulillah,1
lots of love for king babar azam,0
king of the yar,0
respect button babar azam,0
two kings in one frame,0
two king one frame,0
lets vote for ignoring prank on aroob for hrs,0
here just for babar,0
proud to be muslim,1
respect button for babar azam,0
i like babar azam,0
best leader hazrat muhammad saw best lyrics azaan best guide quraan best request dua,1
mine two favorites in one frame omg im so much happy,0
,0
babar azam is great personality now hope he will back in good form,0
love from india,0
who is proud to be part of ummat muhammad saw,1
mashaallah,0
who is proud to be muslim,1
fun fact everyone found this channel randomly but started watching her regularly,0
who is proud to be a part of ummat e muhammad saw,1
king babar azaaaaaam respect button,0
my day is incomplete without your vlog,0
king babar azam,0
came here just for baber azam,0
who is proud to be a muslim,1
just only watch this video for king babar azam,0
duki bhai mother you are a big fan of you india and muslim muslim babar azam my favorite player,0
im only here for babar azam,0
who is proud to be a muslim,1
love from india,0
two kings in a frame king of cricket and king of youtube,0
this vlog will be viral region king babar azam,0
babar azam respect button for fans,0
this man never fails to entertain us lets whos agree vote now,0
saying yes to dad for hours,0
the connection you built with your audience is so wholesome our days are incomplete without your vlogs so proud of you,1
proud to be a muslim,1
this man never disappoints us,0
proud to be a muslim,1
proud to be a muslim,1
proud to be muslim,1
they r just spreading positive vibes and making us happy by putting so much efforts into our favourite videos i absolutely love them,0
proud to be a muslim,1
proud to be a muslim community,1
proud to be a muslim,1
proud to bee a muslim,1
proud to be a muslim,1
ducky bhai is the king of humor and his videos always leave us in stitches,0
proud to be a muslim,1
latus vote daki bhai time pray,0
proud to be a muslim,1
proud to be a muslim,1
who is proud to be a muslim,1
who is proud to be a muslim,1
only duky fans can feel the happiness of every vlog,0
lets vote for saying yes to father or mother for hours,0
proud to be a muslim,1
proud to be a muslim,1
i proud to be a muslim,1
proud to be muslim,1
only ducky fan can feel the happiness of every volg,0
we proud to be a muslim,1
i literally waited for your vlogs daily i love it just coz you shoot them naturally not scripted and your family is so cute and real specially aroob is my favourite person,0
fun fact everyone found this channel randomly but started watching her regularly,0
finally ducky bhai is ready to complete his promise happy may allah bless you more,0
this man is really jolly he cheers up the mood,0
lets vote for showing us dakku and dolly again,0
only ducky bhai fans can feel the happiness of min vlog,0
i was upset but after watching duckys vlog literally no more upset love you hogaya brother,0
who is proud to be a muslim,1
only ducky fan can feel the happiness of every vlog,0
proud to be a muslims,1
best hope allah best leader muhammad saww best lyrics azaan best guide quran,1
proud of be muslim,1
proud to be a muslim,1
proud to be muslim,1
respect for the driver,0
welcome to pakistan,0
who is proud to be a muslim,1
proud to be a muslim,1
who is proud to be a muslim,1
who is proud to be a part of ummat e muhammad saw,1
proud to be muslim,1
lets vote for saying yes to saad mother for hours,0
who is proud to be a part of ummat e muslima,1
who is proud to be a muslim,1
ill miss that cute driver and his words for telling how much time will it take from here to there and saying yes,0
proud to be a muslim,1
nice one and congratulations for m,0
lets vote for saying yes to aroob for new born,0
waiting for duckys surprise for us,0
broad taha in muslim god is great,1
your vlogs heal me,0
saying yes to dad for hours,0
saying yes to dad for hours,0
bholu is very good driver bholu also entertain us in this trip,0
welcome to pakistan,0
hayee this scene best couple stay happy and blessed always,0
proud to be muslim,1
who love allah,0
ducky bhai u knowledge literal meri aankhon mein mein aansu thy personal ghr ki problem ki waja se apka video saamny aagaya tou apki baaton se mere chehry chehry par smile aagai special eet,0
ducky you never disappoint me,0
saying yes to father for hours,0
amazing work may allah bless you,0
waiting for surprise,0
iam such a big fan of your vlogs mashallah may allah protect your couple from evil eyes ameen,0
welcome to pakistan,0
who is proud to be ummat e musalman,1
namaz is a permanent solution for all problems who agree,1
love you so much shahzada veer love from jhelum punjab buzurgo still waiting for garmi charge video,0
i respect everyone who were involved in this seriously the best piece that i ve ever seen on youtube hate off to well all love your videos,0
happy million to you,0
proud to muslim,1
who is proud to be all muslim,1
ducky bhai is so down to earth human and your vlogs are amazing pakistan zindabad,0
this video ending is so good,0
who is proud a be muslim,1
beautiful vlogs,0
end gives us goosebumps,0
saying yes to dad for hours,0
saad bhai ur vlogs are always amazing,0
brother is really good person,0
lets vote for ignoring aroob for hours,1
congratulations for m subscribers,0
great sense of humor,0
who is proud to be a muslim,1
i love duckys momshies so sweet and humble,0
ducky bhai youre almost lucky bhai mashallah,0
may allah bless you and your family with health and protect from the evil eye,0
nice,0
proud to be muslim,1
lets vote saying yes to aroob for hours,0
,0
nice,0
i hope you have a fantastic day to come,0
proud to be a muslim,1
sadly this trip came to an end it was so fun watching you and the driver was also so friendly he matched your energy,0
salute to this man he never fails to make us laugh,0
proud to be a muslim,1
i proud to be a muslim,1
proud to be a muslim community,1
proud to be a muslim alhamdulillah,1
ducky bhai not only makes a vlog he also makes us laugh that is why majority is his fan,0
proud to be a muslim,1
proud to be a muslim,1
proud to be a muslim,1
proud to be a muslim,1
going inside the underground city is quite risky ducky bhai dont risk your life like this and thank you for entertaining us with turkey vlogs,0
masha allah aroobs laughter is lovely and contagious it brings automatic smile on face,0
who is proud to be a muslim,1
proud to be a muslim,1
proud to be a muslim,1
your vlogs just make a depressed person to smile,0
proud to be muslim,1
nyc proud to be a muslim,1
who is proud to be a muslim,1
every video of this trip is worth watching i never been to turkey logon ki videos aur pics mejn he dekha jin mein ya beaches thay ya historical sites but this trip introduced to so many new places,0
ducky bhai is not just a name its the emotions of many hearts,0
ducky bhai is the hilarious mastermind behind the funniest videos on the internet get ready to laugh till your stomach hurts,0
the driver will miss the angle angle,0
million is not a joke salute to this man,0
i proud to be a muslim,1
gulo driver is so cute,0
who is proud to be a muslim,1
proud to be a ummat e rasool,1
a man is incomplete without his wife,0
respect button for his driver,0
therapy is so expensive so i just watch his videos,0
today i was feeling very sad and depressed all day because of something but after watching this video im feeling better now my mood has improved significantly so keep making such videos i love it,0
who is proud to be a muslim,1
how funny would it be if it turns out the driver understood urdu and he understood what ducky bhai said kamala ho jai ga yar,0
m is not a joke salute to this man,0
who missed old ducky bhai,0
this vlog has a lot of fun really this vlog makes my day,0
mood refresher vlogs of ducky,0
who is proud to be muslim,1
vas the funniest part of the antire video saad bhai,0
respect button for the drive brother,0
i love allah and rasool sw,1
saad bhai not only makes a vlog he also makes us laugh love you bhai,0
who misses old ducky bhai,0
who is proud to be a muslim,1
amazing vlog love from gojra pakistan last scene so funny,0
we need ducky again back on gaming channel,0
mashaallah,0
respect for driver,0
who is proud of be the part of ummat e muhammad saw,1
proud to be muslim,1
subscribers is not a joke respect button for ducky bhai,0
the way duckey respect driver,0
ducky bhai is not pregnant but he never fail to deliver us a vlog,0
vote for canada trip,0
who is proud to be a muslim,1
we love ducky bahi in every way either old or new,0
missing old roasting ducky bhai,0
this vlog was very funny khanz world hes one the youtubers who is funny and a natural,0
mashaallah,0
who is proud to be a muslim,1
lets vote for ignoring aroob for hours,1
aroob laughing so good,0
just imagine ducky bai if he got to know what you said in underground city,0
literally had me laughing in the end,0
in turkey all things is temporary but the driver permanent,0
who miss old ducky bhai,0
masallah keep smiling forever ameen allah bless you and your family ameen sumameen,0
i really missed golu brother,0
assalamualaikum warahmatullahi wabarakatuh fajr increases beauty zuhr increase income asr improve health,1
dont go year we will miss that van wala bhai and beautiful places,0
rub is a cute cute,0
who is proud to be a muslim,1
i love ducky bhai because he make millions smile i love you ducky bhai,0
comparison of ancient and modern era,0
love you so much shazada veer love from jhelum punjab buzurgo,0
aroob looking soooo gorgeous because her laughing,0
it is my honor to meet you,0
proud to be a muslim,1
im proud to be a muslim alhamdulillah,1
proud to be a muslim,1
im proud to be a muslim,1
aroob changed a lot she is equally funny now and complement ducky perfectly well done,0
proud to be muslim,1
proud to be a muslim,1
who is proud to be a muslim,1
proud to be a muslim,1
who is proud to be a muslim,1
who is proud to be a muslim,1
i proud to be a muslim,1
proud to be a muslim alhamdulillah,1
proud to be a muslim,1
lets vote for h prank on his wife,0
proud to be a muslim,1
proud to be muslim,1
proud to be a muslim,1
proud to be muslim,1
proud to be a muslim,1
who is proud of be the part of ummat e muhammad saw,1
proud to be muslim,1
day is incomplete without your vlogs,0
ducky is the only legend who celebrate his million he said thanks and bs,0
who is proud to be a muslim,1
lets vote for saying yes to father for hours,0
who is proud to be part of ummat e muhammad saw,1
respect button for this man,0
best moment so cute,0
who is proud to be a muslim,1
who is proud to be a muslim,1
we proud to be a muslim,1
nolan looked so done with this challenge,0
namaz is the permanent solution for all problems who agree with me,1
proud to b a muslim,1
namaz is the permanent solution of all the problems,1
who is proud to be a muslim,1
lets vote for saying yes to ducky to aroob,0
vote for saying to duckys american tour were really excited,0
proud to be muslim,1
who is proud to be a muslim,1
vote for ignoring challenge with aroob in turkey,0
who is proud to be a muslim,1
who is proud to be a muslim,1
proud to be a muslim,1
vote for smoking prank with your wife in turkey,0
lets vote for saying yes to father for hours,0
proud to be muslim,1
vote for saying yes to driver for hrs,0
asslamoalikum day is incomplete without his vlog,0
who is proud to be a muslim,1
proud to be muslim,1
love you bro you make us laugh may allah bless you always,0
the million is not a joke one like for this brave man,0
who is proud to be a muslim,1
proud to be ummati,1
congratulations for this big success love you sir g,0
lets vote for ignoring aroob for hours,1
mashaallah,0
who is proud to be a muslim,1
fav part so cute yawara you two are obese,0
i love this post i showed this post to my family they also loved this postwe bought a projector showed this post to the whole neighborhood they also loved this post our lives have changed because of this post we are grateful to you for this postthank you so much for this post,0
who is proud to be a muslim,1
mashallah stay always one unit happy for you,0
extreme respect for ducky bhai,0
who proud to be a muslim,1
progress bee sanatani,0
vote for saying yes to aroob in turkey,0
vote for saying yes to ducky bhai in turkey,0
yaarbo is funny captive xi kanaus how to enjoy masha allah avasme view from sky subhan allah,0
daki bhai u and bhabhi great doni mashalahallah you guys protect you,0
proud to be muslim,1
best youtuber award goes to ducky bhai,0
vote for saying yes to aroob for new born baby,0
lets vote for ducky bhai saying yes for his father,0
vote for saying yes to aroob in turkey,0
hhhhhhh mashallah masoom ducky nd aroobyou are made fore ech etherahlah paak donk ko nzre bad syy mehfooz farmaye or hmesha aesy hi sath khud thinameeen summa ameen,0
proud to be muslim,1
im feeling like since when aroob has come in videos your vlogs are owesm and funny her jugattt are very funny give reaction on every jugattttt your vlog will become more funny,0
proud to a muslimp,1
i am proud to be a muslim who agree with me,1
lets vote for ignoring aroob for hours,1
who is proud to be muslim,1
beautiful vlogs,0
how is proud to be muslim,1
who is proud to be muslim,1
namaz is the permanent solution of every problem who is agree with me,1
aroob is so sweet and so cute and her eyes is very beautiful,0
hai rub my favav when daki bjps shoe took off allways by happy legend,0
vote for hours ignoring aroob in turkey,1
who is proud to be pakistani,1
always i love aroob jatoi smile,0
i love you vlogs,0
who loves quran,1
im pakistani but congratulations india for play final of world cup,0
mashlah allah pak always keeps you happy like this,0
proud like a muslim,1
masha allah your videos are very good may allah bless you always,0
aroob is very brave mashaallah,0
respect button for driver,0
proud to be a muslim,1
lets we all appreciate the content this man and his crew makes just a masterpiece imagine whats hes gonna doing in the future,0
hand dryer moment ducky bhai never disappoint us,0
im proud to be a muslim,1
proud to be a muslim,1
who agree allah is one,0
proud to be a muslim,1
lets vote for saying yes to father for hrs,0
im proud to be a muslim alhamdulillah,1
proud to be a muslim,1
hand dryer moment ducky bhai never disappoint us,0
it would be awesome if you speak some english so we understand,0
who is proud to be a muslim,1
i have never commented on ducky video since but today i laughed so hard when you guys entered this haunted hotel aroob and your reactions was top notch thanks to both of you for making us laugh,0
i can feel the bad vibes of that hotel by just watching hope u guys are safe and secure,0
who is proud to be a muslim,1
proud to be a muslim,1
lets vote for saying yes to aroob for hours,0
dukki bhai did not have to promote this song against our religion and please dont ignore my comment,0
proud to be a muslim,1
im sure the travel guide will be very angry on brother,0
i am proud to be a muslim family,1
im proud to be muslim,1
proud to be a muslim,1
imagine barother tailing dakki was and of the trip to take care of you brother i am happy to meet you,0
i cant control my laugh the way they investigate every corner,0
who is proud to be muslim,1
who is proud to be a muslim,1
respect for ghost who will save him from ducky,0
who is proud to be a muslim,1
though ducky was sick but he is still making vlogs for us thanku brother,0
who is proud to be a part of ummate muhammad saw,1
hahaha todays vlog is too good i cant stop laughing,0
proud of all muslims,1
who is proud to be a muslim,1
who is proud to be muslim,1
lets vote for ignoring aroob for hour,1
ducky bhai your great im on holiday to turkey myself i have been watching your turkey trip to check out the guide for the tours enjoy your holiday,1
ego attitude hardwork honest,0
salute the diver driving for hour,0
vote for ducky nd marriage prank,0
quality of content is better than sourav and from many vloggers,0
van driver is good personality and good manners,0
ducky bhai give to entertain us,0
both deserve oscar,0
your sense of humor is good duckybhai,0
who is proud to be a muslim,1
when driver was giving him a roll the duky bhai said bhai hath b dhulay thay ya nhi that was tooo funny and they also forgot his umbrella there,0
congratulations for million,0
proud to be a muslim,1
lets vote for ignoring aroob for hours,1
i am proud to be muslim,1
fenu yan tan so suffe selnananana deckhick to be delim,0
lets vote for hours saying yes challenge for aroob in turkey,0
respect button for driver,0
ducky you made my day,0
my day is incomplete without a ducky bhai vlog,0
allah azzwajal falastin or muslims co iman seht afiaot relief caub khushi sukhun sukhun,1
who is proud of be the part of ummat e muhammad saw,1
today vlog is just looking like wao hahahahaha i cant stop laughing btw plz dont stay here tomorrow,0
respect button for ducky bhai brave,0
lets vote for ignoring aroob for hours,1
oman and qatar banned this movie in honour of pakistan meanwhile ducky bhai sponsoring it to get money,1
who is proud to be part of ummate e muhammad pbuh,1
who is proud to be a muslim,1
i hope big surprise by duckybhai after comeback,0
love you so much shazada veer love from jhelum punjab buzurgo going to watch this song for ducky bhai,0
respect button for driver,0
just like a horror,0
ducky is such a great person,0
saying yes to muneeb for hours,0
happy m,0
lets vote living in a jungle for hours,0
cant resist without your vlogs,0
best part of duckys channel,0
how is proud to be a part of ummat e muslima,1
vote for ignoring aroob for hours,1
i think your next plan is to go in the hot air balloon,0
who is proud to be muslims,1
ego attitude hardwork honest,0
who is proud to be a muslim,1
how is proud to be a muslim,1
first of all congratulations for m subscriber lets vote for saved and tend,0
if you feel depressed watch ducky bhai videos you will feel fresh appreciated your efforts bhai,0
when ducky said said nagrani he was looking so innocent and tui wala seen is my fav,0
best part when ducky said hth nikl ana haghte huye and,0
daki yu made my day came out of the blood and dakis toi was covered by the ghost,0
disclaimer this video is the last video of ducky bhai,0
hotel when u have less money left,1
namaz is the permanent solution of all the problems,1
energy of this guy is unbelievable,1
respect for driver for driving hrs,0
lets vote for ignoring aroob for hours,1
best thing in turkey trip is the driver he is so nice and sweet,0
who is proud to be muslim,1
who is proud to be a muslim,1
vote for saying yes to aroob for hr,0
i am waking up my brother cats,0
how is proud to be muslim i am proud to be a muslim family,1
who stand with palestine,1
proud to be a muslim,1
proud to be a muslim,1
proud to be muslim,1
proud to be a muslim,1
ego attitude hardwork honest,0
who is proud to be muslim,1
get well soon ducky bhai please enjoy your trip but you should first consider your health important because nothing is important then healthlots of prayers for you ducky bhai,0
proud to be a muslim,1
im proud to be a muslim alhamdulillah,1
who is proud to be a muslim,1
who is proud to be muslim,1
who is proud to be a muslim,1
who is proud to be part of ummat e muhammad saw,1
who is proud to be a muslim,1
who is proud to be a muslim,1
proud to be a muslim,1
who is proud to be a muslim alhamdulillah,1
proud to be muslim,1
we all will be fine with you i will be fine inshallah,0
proud to be a muslim,1
who is proud of be the part of ummat e muhammad saw,1
who is proud to be a part of ummate muhammad saw,1
who proud to be part of ummat e muslima,1
lots of love from uae take care and get well soon nazar lag gaye pls all say mashallah whenever you are starting a vlog say to all of them say mashallah and after that start your vlog,0
proud to be muslim,1
proud to be muslim,1
proud to be true muslim,1
proud to be a muslim,1
nice,0
who is proud to be ummate muhammad saw,1
this man is literally born to make history,0
inshallah bhai you will be fine we love your contents that you make for us,0
im proud to be a muslim alhamdulillah,1
ducky bro keep uploading this type of content love you from pakistan,0
mashallahget well soon,0
i am proud of muslim,1
big respect for both couple may god recover you soon,1
proud to be a muslim,1
ducky brother i like this very much that you are taking this driver along with you and making him have fun and also feeding him,0
enjoy your trip get well soon,0
proud to be muslim,1
appreciate your struggles ducky bhai,0
inshallah get well soon bhai love from asma badar lahore pakistan,0
mashallah bhai,0
congratulations for million ducky bhai,0
proud to be muslim,1
allah bless you both of you such a nice couple,0
amin suma amin allah pak shop bhai ko jo jad se seht seht,0
take care brother give your allah pak health,0
get well soon bro,0
one day my bay comment will be viral,0
brother i am also very much bihmar ho ho my allah blasses,0
get well soon ducky bhai,0
may allah heal you ducky bhai,0
wishing you well hope you get soon,0
who is proud to be a muslim,1
i will roam so cold so you will be ill,0
get well soonducky bro,0
this man is literally born to make history,0
namaz is the permanent solution of all the problems,1
get well soon stay safe stay healthy,0
turkey is my dream country,0
lets vote for saying ducky bhai not to shave his beard and hair say if you agree,0
may allah keep you blessed with good health and by his mercy may you enjoy,0
get well soon,0
get well soon ducky bhai,0
this main never miss to make us laugh,0
get well soon ducky bhai and wear warm clothes because turkey weather is cold,0
proud to be muslim,1
you are the best ducky bhailove your vlogs,0
,0
nice,0
get well soon saad bhai,0
nice bro love you punjab india,0
get well soon bhai,0
quality of content is better than sourav and every vloggers,0
lets vote for saying yes to aroob for hours,0
allah give you health brother,0
god god is my skin,1
allah pak sehtiyabi tandurushi life should be attacked and especially from every sight both of them have mehfuz rakhayam get will soon bro,0
your hayehaye when u and aroob are under the same umbrella,0
who is proud to be a muslim,1
inshallah will be fine do not drink cold water take care of yourself,0
,0
get well soon sir love u im from pakistan karachi ur my idol sirrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0
he gave health to allah daki brother,0
allah give you health,0
god is the best villages of ja god willing,1
